gene,AB5075_UT1,AB5075_T1,AB5075_UT2,AB5075_T2,AB5075_UT,AB5075_T3
metK,5170,289,1884,1307,1819,2449
ABUW_2297,135,655,1657,1028,5077,2406
ABUW_2298,2,352,3345,2145,1876,1775
fxsA,97,892,356,301,691,1131
bla-OXA-69,201,2577,4419,3302,3134,9607
yncA,147,218,2327,1667,488,3029
ABUW_2302,168,699,2640,1985,1053,2800
ABUW_2303,1141,269,1928,908,3223,1459
ruvC,2741,3,18,14,13,9
ABUW_2305,8,2,7,6,21,12
ABUW_2306,7888,0,0,0,0,0
bioB,631,2,1,0,76,51
ABUW_2308,21,65,7,0,57,779
ABUW_2309,103,2,0,0,4,71
ABUW_2310,83,0,0,0,0,0
ABUW_2311,92,0,0,0,0,0
ABUW_2312,1,0,0,0,0,0
ABUW_2313,89,0,0,0,0,0
ABUWs041,9853,0,0,0,0,0
ABUW_2314,11185,0,0,0,0,0
ABUW_2315,2074,4569,5762,2972,10472,5777
ABUW_2316,1415,281,919,510,341,686
ABUW_2317,2124,276,529,327,101,666
ABUW_2318,1327,311,813,441,391,1350
ABUW_2319,4050,333,1835,909,853,1153
ABUW_2320,10462,1634,5300,4051,9379,8136
ABUW_2321,4618,311,1547,1567,1465,1195
ABUW_2322,7148,944,21527,6412,6956,10486
ABUW_2323,1288,1386,80,149,290,1150
ABUW_2324,2338,41,91,93,111,238
ABUW_2325,8268,25,77,99,93,184
ABUW_2326,15987,161,479,592,327,1029
ABUW_2327,3589,0,0,0,0,2
ABUW_2328,2281,354,1611,1670,464,696
ABUW_2329,6303,1122,3667,3505,4977,2160
gltL,4306,39,30,45,39,89
gltK,4335,129,637,576,695,1289
gltJ,3370,1,4,5,0,3
gltI,2764,173609,377502,259636,116954,63579
ABUW_2334,5264,13262,57824,40957,48229,19848
ABUW_2335,3426,65009,145474,98011,74428,36975
ABUW_2336,5169,7846,14057,4091,10316,9860
ABUW_2337,1902,621,1047,608,1602,1007
metQ1,2564,6427,5637,3553,10073,2265
metQ2,5444,449,1465,1377,899,399
metN1,8445,3899,413,483,106,241
ABUW_2341,4890,1836,385,323,68,97
ychF,5134,621,50,53,27,14
ABUW_2343,15745,757,225,142,25,16
ABUW_2344,3433,243,216,131,46,33
ABUW_2345,11023,367,277,267,41,45
ABUW_2346,8830,93,758,328,336,393
ABUW_2347,8562,198,763,538,1713,614
ABUW_2348,194,0,2,5,0,0
ABUW_2349,3147,37,31,15,47,112
purT,4512,1,4,4,10,5
glnD,0,841,3534,2013,2861,1433
ABUW_2352,1175,30,489,346,236,154
ABUW_2353,1216,7,22,12,4,34
ABUW_2354,0,137,537,347,323,712
gpo,4,235,385,355,178,549
msrB,205,65,324,286,109,333
ABUW_2357,95,1291,47354,83847,156890,29645
ABUW_2358,533,2378,1158,1816,220,1775
aspQ,4275,15948,1789,2796,969,4559
dnaE,1959,1,1,0,3,4
ABUW_2361,30,0,32,12,20,21
cysE,203,292,212,171,144,1084
ABUW_2363,99,137,337,312,117,719
ABUW_2364,234,679,605,568,708,1178
ahpF1,663,28,100,128,20,114
chrA2,1,27,41,38,21,65
xxx,0,7406,3218,2578,8655,27793
ABUW_2368,21,4562,2949,2468,3458,18276
arsB1,2097,144,636,369,319,1289
arsR1,544,234,571,318,535,1533
arsC1,274,125,1069,472,595,1115
ABUW_2372,550,395,878,369,1343,1063
ABUW_2373,385,8177,1165,1631,1803,22371
ABUW_2374,1076,4019,4235,6778,4582,31712
ABUW_2375,1336,6228,1587,1930,2561,9551
ABUW_2376,581,6014,2269,2728,4522,31070
ABUW_2377,1236,304,423,667,88,3233
hyu,972,956,1026,1504,670,6688
tauD,1111,3970,3646,4340,5572,18003
tauC,1476,3667,7307,7065,5750,28910
tauB,721,10243,1225,1775,3219,45815
tauA,337,1071,179,857,261,4634
ABUW_2383,87,24326,513,1819,3021,49778
ABUW_2384,178,1363,307,1651,572,9178
ABUW_2385,4,593,477,2087,646,9643
ABUW_2386,1679,695,327,1884,454,8068
ABUW_2387,1052,427,207,1007,453,6719
ABUW_2388,82,1071,515,2266,882,13790
cioA,10,864,349,1528,449,9882
cioB,33,2102,550,1858,1748,20327
ABUW_2391,187,2609,370,1479,125,10360
ABUW_2392,88,289,290,1059,113,4135
mdcR,86,4142,801,1973,1982,25241
madM,178,4982,1413,2977,2276,17204
madL,158,4324,928,1694,1757,30073
ABUW_2396,140,4968,1156,2261,1053,14581
mdcG,0,36251,3888,5093,9385,121826
mdcE,3239,401,1158,1602,737,6762
mdcD,4139,27453,2537,2777,4761,86734
mdcC,17325,16732,3654,4645,5023,26081
mdcB,2330,2878,2354,2888,2285,17242
mdcA,325,212,932,564,348,693
ABUW_2403,2336,804,1253,1570,1328,7051
ABUW_2404,2095,2498,2097,1449,3674,5558
ABUW_2405,203,0,0,0,0,4
ABUW_2406,2373,182,896,611,301,931
ABUW_2407,6,871,760,430,692,1569
ABUW_2408,6347,0,0,1,0,0
ABUW_2409,665,25,222,110,59,160
ABUW_2410,1165,7,154,58,10,76
ABUW_2411,12,398,626,342,174,1074
ABUW_2412,7578,797,1319,1520,1458,6372
ABUW_2413,55433,423,2274,1348,1235,3810
ABUW_2414,2210,4,93,27,26,50
srpH,1272,69,250,126,116,406
ABUW_2416,2008,19,35,84,9,220
ABUW_2417,478,66,123,201,66,527
ABUW_2418,3,133,151,213,45,354
ABUW_2419,3137,0,0,0,0,3
ABUW_2420,4876,510,1342,987,823,1634
ABUW_2421,419,150,525,300,448,581
ABUW_2422,330,234,146,126,110,186
ABUW_2423,149,71,237,271,231,349
ABUW_2424,692,176,231,274,99,430
ABUW_2425,134,1162,550,614,675,1401
ABUW_2426,430,132,508,304,1955,609
ABUW_2427,1143,267,376,362,604,558
ABUW_2428,281,207,659,767,791,1343
ABUW_2429,1416,141,476,464,481,1127
ABUW_2430,795,265,531,593,247,673
umuD,75,303,734,1012,480,1338
ABUW_2432,5017,203,3412,1576,1973,1095
ABUW_2433,372,26,107,71,82,382
ABUW_2434,17087,169,41,34,48,850
ABUW_2435,18528,11,59,48,48,163
katE,1370,216,237,246,311,1025
ABUW_2437,207,680,901,1114,799,639
cinA1,5542,62,104,282,81,543
ABUW_2439,6753,259,24,282,93,819
ABUW_2440,815,76,43,572,76,1084
ABUW_2441,1037,645,180,2172,541,5747
ABUW_2442,334,122,106,733,74,1400
ABUW_2443,109,50,110,932,76,1257
ABUWs043,1,62,149,970,157,1548
ABUWs042,1491,33,173,1136,107,1534
ABUW_2444,1352,3507,1619,1483,748,4435
ABUW_2445,292,179,1318,1450,2239,559
ABUW_2446,2,40,657,551,352,353
ABUW_2447,163,202,4585,3902,1642,1808
ABUW_2448,1,1813,986,1277,1289,13660
ABUW_2449,1415,205,3603,1686,2418,1089
ABUW_2450,2834,630,1382,537,852,3486
ABUW_2451,775,220,1866,484,493,1963
ABUW_2452,818,30,276,186,126,691
ABUW_2453,529,3241,10592,2562,5248,12536
mgh,2476,6,3,5,0,11
ABUW_2455,907,6184,3701,2726,9027,7315
ABUW_2456,1703,237,415,271,362,1800
ABUW_2457,960,238,557,375,576,1541
ABUW_2458,279,2,22,14,4,70
ABUW_2459,229,3682,19529,23325,7349,5734
acdB2,1,33802,89299,104917,86107,43793
ABUW_2461,1310,441,3089,3344,5419,4278
ABUW_2462,26,263,1499,1492,610,1306
ABUW_2463,297,206,1993,1556,811,2090
dcaJ,275,10,113,63,96,83
dcaI,234,435,489,637,76,1075
dcaK,279,2,0,1,3,12
dcaA2,187,241,2545,2468,1017,2773
dcaE,762,1520,1528,1088,1446,8637
dcaC,31,56,888,650,215,590
dcaH,50,380,423,266,300,410
dcaF,4378,26,201,128,43,59
dcaR,18031,97,626,378,517,625
ABUW_2473,2100,17,33,40,14,89
ABUW_2474,4976,4,201,242,139,329
ABUW_2475,81,386,506,298,299,542
dcaS,1233,15,133,109,17,285
caiB1,108,346,1495,1380,1877,1101
dcaA1,189,761,409,386,788,1446
mucK1,0,33,357,187,163,266
phnX,328,21150,5856,4980,10058,5124
phnW,6,206,109,120,266,393
ABUW_2482,282,4647,6048,7487,6399,12063
ABUW_2483,783,33468,5744,4203,12944,23415
ABUW_2484,904,133,845,456,229,420
ABUW_2485,2346,39,136,60,31,105
ABUW_2486,569,10429,22368,18705,85218,12731
pobA,1577,227,5656,2019,1818,4578
pobR,6079,127,632,371,667,675
ABUW_2489,239,67,706,276,171,436
ABUW_2490,3482,91,272,221,211,502
ABUW_2491,137,142,52,43,119,505
gabD2,2261,1,0,0,0,0
ABUW_2493,855,124,498,458,264,1526
ABUW_2494,4209,107,295,351,110,900
ABUW_2495,46,410,772,902,931,4005
ABUW_2496,34,264,116,62,293,323
ABUW_2497,3875,0,1,1,0,1
ABUW_2498,6461,116,95,78,84,523
ABUW_2499,2909,3466,1059,736,1314,3476
ABUW_2500,2457,58,569,383,97,759
ABUW_2501,800,39,824,374,303,497
ABUW_2502,5182,58,898,406,1339,735
ABUW_2503,7060,97,1002,477,1254,2091
ABUW_2504,1746,92,709,391,300,1179
ABUW_2505,468,483,701,993,379,5007
ABUW_2506,1121,255,277,485,91,1448
ABUW_2507,109,11,734,229,164,456
ABUW_2508,274,45,151,112,118,473
ABUW_2509,758,0,0,1,0,0
ABUW_2510,2,113,866,1193,807,2668
ABUW_2511,157,124,324,252,138,482
ABUW_2512,1234,34,415,146,197,516
csp2,0,10,12,4,4,56
ABUW_2514,153,49,56,100,80,196
ABUW_2515,216,99,92,203,90,291
ABUW_2516,2,37,119,87,105,229
ABUW_2517,297,76,466,359,130,783
ABUW_2518,150,10,173,191,89,305
ABUW_2519,3000,10,282,248,376,175
ABUW_2520,10138,5158,6715,4990,10261,11385
ABUWs044,6466,1197,7429,4045,3065,11148
ABUW_2521,6700,112,2579,1506,1538,1999
ABUW_2522,1552,6461,36764,35735,15881,12425
paaI1,77,28,168,44,85,130
paaY,155,252,834,379,870,1692
paaX,5633,69,132,72,190,137
paaF,244,172,311,368,357,192
paaE,1,0,0,0,0,0
paaC,3474,63,372,152,538,298
paaB,0,11,60,67,22,105
caiD,1,142,875,683,189,1131
paaK,415,84,1383,743,307,1784
paaJ,273,277,216,238,896,1196
paaI2,206,851,632,495,106,638
paaH,20,195,845,703,245,1869
paaG,101,896,10925,10892,6415,2392
paaN,84,177,290,348,47,561
sdaA,85,432,3995,2231,1960,7631
ABUW_2539,36,40,265,219,22,377
ABUW_2540,6,496,1112,1378,579,5643
ABUW_2541,0,35,699,423,200,1804
aldH,0,491,2640,1719,2736,1330
ABUW_2543,106,4,11,22,12,25
ABUW_2544,97,3,10,6,14,41
ABUW_2545,0,16,46,27,9,65
ABUW_2546,523,530,1753,2358,1108,1776
ABUW_2547,142,5174,2522,2771,3104,3347
ABUW_2548,1697,1011,1261,1366,1111,1066
ABUW_2549,1974,467,1041,939,723,750
ABUW_2550,2448,102,452,342,253,143
ABUW_2551,117,5694,1970,1306,5674,1881
ABUWs045,4861,6566,3168,2212,5804,2135
ABUW_2553,362,2679,1098,1563,1733,1268
ABUW_2554,4508,1456,303,519,919,802
soxR,2121,1010,1283,2048,2486,1392
ABUW_2556,0,452,169,206,444,159
ABUW_2557,1580,45,239,88,241,173
ABUW_2558,0,87,536,350,276,804
ABUW_2559,578,2,3,1,3,29
ABUW_2560,659,14,128,66,37,57
guaD1,1,78,509,364,345,701
ABUW_2562,297,0,0,0,0,0
ABUW_2563,1276,117,584,411,386,483
ABUW_2564,1014,12,430,295,282,401
ABUW_2565,2060,0,2,0,0,1
ABUW_2566,574,56,229,189,111,366
ABUW_2567,1049,12,68,82,49,107
ABUW_2568,0,51,521,294,399,432
clpV,2,1408,4341,3171,10340,8229
ABUW_2570,785,965,3206,2583,7089,5032
ABUW_2571,2,1424,2929,2165,1437,3479
ABUW_2572,939,156,874,993,474,991
icmF,6204,42,164,160,81,43
ABUW_2574,1824,2742,7457,7384,2945,6006
ABUW_2575,3218,103,262,176,75,404
ABUW_2576,1422,0,1,0,1,4
ABUW_2577,2690,484,5481,951,7730,5896
ABUW_2578,152,1,1,0,1,5
ABUW_2579,306,98,4812,1077,23608,1109
ABUW_2580,9,61,2422,631,4484,270
ABUW_2581,1513,615,2160,625,5197,341
ABUW_2582,688,6,5,11,3,16
ABUW_2583,321,41,37,39,19,60
ABUW_2584,29,15,44,44,12,46
ABUW_2585,472,16,21,23,27,61
atzF,240,5,22,13,10,41
ABUW_2587,239,0,7,5,3,9
ABUW_2588,239,0,0,0,0,0
ABUW_2589,426,22,50,50,27,131
ABUW_2590,1691,25,23,44,20,106
uca,76,95,392,334,965,235
ABUW_2592,61,25,170,80,53,206
ABUW_2593,61,1433,1136,913,7473,4717
ABUW_2594,1696,447,1390,1391,3631,2842
ABUW_2595,1687,606,912,515,1092,3201
ABUW_2596,890,43,67,68,42,223
ABUW_2597,564,2690,2616,1241,4398,922
ABUWs046,259,118,219,152,224,167
ABUW_2598,59,474,1531,1638,1409,11521
ABUW_2599,14,245,850,652,312,2940
ABUW_2600,714,562,755,676,711,2887
ABUW_2601,3505,310,1571,848,571,1334
ABUW_2602,1542,129,567,236,755,420
bccA,17,296,238,219,341,943
ABUW_2604,21791,297,1621,787,681,1347
ABUW_2605,1,1670,699,774,622,983
ABUW_2606,156,712,973,1085,553,1442
ABUW_2607,490,210,420,318,201,464
ABUW_2608,652,2195,1094,608,1204,2186
ABUW_2609,2391,1,1,0,1,12
ABUW_2610,1358,0,1,2,4,2
ABUW_2611,151,78,613,586,251,652
ABUW_2612,164,1690,333,523,544,2750
ABUW_2613,708,5053,17652,20327,18644,6047
ABUW_2614,182,951,500,995,587,1276
ABUW_2615,1962,1614,4692,5140,3980,2234
ABUW_2616,529,488,1080,843,1200,1063
ABUW_2617,74,9285,2093,897,5184,3021
ABUW_2618,1,23,172,98,140,326
ABUW_2619,96,25,274,183,50,419
ABUW_2620,1,0,0,2,3,4
ABUW_2621,212811,155,2514,1081,816,1306
ABUW_2622,18,323,820,617,601,1062
ABUW_2623,794,22,242,235,151,330
ABUW_2624,1959,102,93,113,154,318
ABUW_2625,2,206,23,36,100,226
ABUW_2626,628,209,32,41,52,176
ABUW_2627,589,95,35,41,57,109
pcaK2,0,28,164,50,170,130
ABUW_2629,0,226,634,233,611,420
ABUWs047,1675,36,64,38,56,114
ABUW_2630,895,33,85,43,148,121
ABUW_2631,664,50,138,73,206,95
ABUW_2632,1801,215,203,201,152,240
ABUW_2633,662,10266,2475,2153,6163,3328
mutS,5163,237,474,260,380,1250
ABUW_2635,951,752,2211,1642,1327,1580
fdxA,13222,26,280,203,103,270
ABUW_2637,859,49,125,99,30,255
ABUW_2638,0,5,18,24,9,35
ABUW_2639,50,216,832,483,182,478
ABUW_2640,1,903,1882,928,1870,925
ABUW_2641,1214,175,517,364,665,586
ABUW_2642,894,2,3,6,10,48
ABUW_2643,13148,74320,45934,29690,73371,13863
ABUW_2644,1213,0,5,1,2,5
lptB,65,52,102,107,66,125
lptA,92,0,0,1,0,0
ABUW_2647,150,52,25,17,34,81
kdsC,1293,11,29,38,9,76
kdsD,2086,144,80,134,81,562
cysS,6589,92,95,131,50,415
ABUW_2651,21300,62,80,75,45,357
ABUW_2652,68,156,785,644,241,1864
ABUW_2653,6,76,115,99,34,201
ABUW_2654,88,251,1354,1110,650,1851
ABUW_2655,4379,509,1192,640,234,864
ABUW_2656,209,67,200,205,61,198
ABUW_2657,100,4,1,1,0,23
ABUW_2658,0,33,56,52,18,129
ABUW_2659,676,1,0,2,0,14
ABUW_2660,191,3307,494,550,1445,2723
ABUW_2661,364,2,10,16,4,17
ABUW_2662,22,0,0,0,0,10
ABUW_2663,371,1041,561,443,997,1449
ABUW_2664,2635,1469,767,185,715,3053
ABUW_2665,428,9905,1461,543,4720,8200
ABUW_2666,520,0,0,0,0,1
ABUW_2667,610,0,0,0,1,0
ABUW_2668,18199,2761,787,1008,729,1747
ABUW_2669,4768,1368,508,499,928,1389
ABUW_2670,15,334,298,314,560,545
ABUW_2671,439,552,2906,3152,2116,1858
ABUW_2672,9931,234,1118,798,359,843
ABUW_2673,847,1478,8927,2903,4502,3464
ABUW_2674,2487,724,6352,9469,3529,3916
ABUW_2675,6559,1301,1004,557,1457,4944
ABUW_2676,674,81,971,482,189,715
ABUW_2677,88660,0,0,0,0,0
ABUW_2678,2,33,111,79,63,129
ABUW_2679,127,12,6,6,2,25
ABUW_2680,25,0,1,0,0,0
ABUW_2681,217,0,0,2,1,4
ABUW_2682,430,7,191,36,156,51
ABUW_2683,32,40,88,8,29,24
ABUW_2684,16269,815,8285,2987,4161,5496
ABUW_2685,331,30,406,171,188,411
ABUW_2686,158,84,64,103,69,106
ABUW_2687,7051,135,46,19,72,91
ABUW_2688,29,18,100,99,54,82
ABUW_2689,858,11,894,335,614,214
csp1,2470,1058,1173,816,6085,1137
ABUW_2691,2783,263,1594,1005,2814,1589
ABUW_2692,6659,557,648,1438,518,4216
ABUW_2693,4337,23,61,67,67,98
ABUW_2694,7317,6,1,7,2,126
ABUW_2695,6038,2,19,28,15,108
ABUW_2696,415,338,2225,1756,1184,1423
ABUW_2697,3742,55,100,59,199,151
ABUW_2698,3242,11,14,13,11,37
ABUW_2699,146,0,0,0,0,0
ABUWs048,39472,3297,435,655,2200,17772
ABUW_2700,239,167,171,422,205,2038
ABUW_2701,3,260,234,600,451,2637
ABUW_2702,196,22,108,179,99,178
ABUWs049,137,67,240,203,241,384
ABUW_2703,87,4350,2826,1876,4658,5016
ABUWs050,93,79,651,280,680,290
ABUW_2704,267,160,750,348,949,265
ABUWs051,318,790,231,195,637,811
ABUW_2705,42,2200,22579,18905,19958,9560
cueR,70,904,5899,4980,12655,4655
actP2,133,14,4,17,5,8
ABUW_2708,745,276,874,646,730,861
benM,2821,1524,2939,3650,780,4805
benA,188,147,1550,347,730,1606
benB,65,0,8,2,0,1
benC,49,0,6,1,0,13
benD,127,12,30,15,8,58
benE,57,3199,1158,801,2681,7079
benK,258,1875,5170,3309,4944,15453
benP2,149,2125,1126,1117,3772,1218
ABUW_2717,4428,103489,82708,90358,103286,54263
hrpA,2487,0,5,10,2,23
ahpC,674,45,43,77,70,275
ABUW_2720,590,10,2,13,0,2
mdmC,1789,20,59,45,44,214
ABUW_2722,311,29,232,149,131,499
ahpF2,0,29,26,11,5,87
ABUW_2724,736,2617,16939,6059,20102,14748
gst,127,1139,142,84,190,1052
ABUW_2726,21,9,343,300,4444,461
trmB,0,9016,3746,3872,10230,8389
ABUW_2728,0,164,308,514,156,813
ABUW_2729,0,1062,1180,851,931,752
ABUW_2730,0,3281,1572,1050,3141,1724
pyrX,0,4838,2451,3337,1921,5298
pyrB,0,1236,2140,2456,668,1872
ABUW_2733,0,4445,4575,4061,7034,7607
ABUW_2734,11,7112,6368,3298,11942,8402
ABUW_2735,561,197,992,372,582,871
cinA2,1080,2508,3964,1961,4970,3581
clpB,1036,638,977,1340,858,5869
ABUW_2738,337,32,65,125,28,616
ABUW_2739,701,21178,36450,15455,58929,96554
ABUW_2740,4782,13,45,23,24,61
vfr,2,0,0,0,1,0
ABUW_2742,2012,8,84,51,59,185
ABUW_2743,209,114,48,54,69,316
ABUW_2744,16,18,62,36,56,179
purA,13585,37,60,33,60,145
hisZ,36692,54,72,46,37,166
epd,15,25,43,26,11,72
alaS,6751,23,101,65,15,102
lysC,600,19,99,60,64,130
csrA,55,390,672,656,719,1529
rnhB,1921,6698,3268,5055,9194,5934
ABUW_2752,3804,47,79,63,67,147
ABUW_2753,1,12,41,39,23,93
add1,704,8,13,23,34,139
ABUW_2755,122,1,34,44,47,109
ABUW_2756,0,37,47,63,21,216
ABUW_2757,1,162,103,100,220,573
ABUW_2758,5874,16,77,84,39,179
ABUW_2759,15618,14018,6202,8933,18514,3708
ABUW_2760,98,607,1244,596,1461,3067
ABUW_2761,26,53,516,240,377,693
ABUW_2762,1520,52,438,137,167,157
ABUW_2763,3226,203,1896,1240,3414,1547
ABUW_2764,0,39,187,151,142,266
ABUW_2765,317,0,0,0,0,0
ABUW_2766,183,82,175,147,379,416
ABUW_2767,0,141,288,190,144,385
ABUW_2768,3,321,419,255,401,1161
ABUW_2769,613,346,441,250,462,706
ABUW_2770,172,537,535,204,931,983
ABUW_2771,621,946,1207,487,850,616
vanK,467,2352,5220,1116,3481,1324
vanA,267,391,653,283,507,1368
vanB,85,48,131,52,130,131
vanR,251,48,285,154,210,238
hcaR,676,2585,18138,7393,11545,3310
hcaK,380,9082,18470,12610,32192,37156
hcaA,37464,69,32,22,181,368
hcaB,23409,42811,12600,12840,20300,13893
hcaC,61972,869,2437,2149,2891,822
hcaD,36032,19,77,32,18,93
hcaE,16818,1473,3526,2071,4330,3935
ABUW_2783,14377,1228,10549,3219,10367,5347
ABUW_2784,0,0,5,3,5,0
hcaG,49,50,627,423,351,628
ABUW_2786,318,240,413,319,471,1026
ABUW_2787,11082,890,735,1931,922,3294
kdgD,1423,0,0,0,0,4
gudD,1303,0,13,29,3,0
ABUW_2790,13926,2216,38401,37815,13410,1330
garD,7098,7074,98634,95015,72016,4850
ABUW_2792,6571,219,240,225,262,659
ABUW_2793,8678,21,28,24,9,27
ABUW_2794,1435,1256,400,329,827,1304
ABUW_2795,2198,473,948,694,989,1265
ABUW_2796,4610,0,0,0,0,0
ABUW_2797,3199,10,34,34,18,110
ABUW_2798,2854,9,16,26,4,78
astA2,85,0,0,0,0,0
ABUW_2800,213,0,0,1,0,16
ABUW_2801,243,113,455,406,132,506
ydcW,44,61,185,83,227,280
ABUW_2803,16817,214,1188,946,542,1629
ABUW_2804,2032,343,1284,929,325,1608
ABUW_2805,28,125,585,427,268,1284
ABUW_2806,61,21,27,32,37,31
ABUW_2807,3948,239,1202,767,136,438
ABUW_2808,753,162,908,400,930,1029
ABUW_2809,98,161,279,207,166,295
ABUW_2810,69,38562,3071,1998,9628,12280
ABUW_2811,228,823,8633,11166,4273,3982
ABUW_2812,237,3196,10858,14390,15381,11018
ABUW_2813,50,2451,7869,10440,9597,6146
ABUW_2814,218,847,3623,5328,2767,2940
ABUW_2815,21,2256,3073,5092,5713,6071
ABUW_2816,4,0,0,0,0,0
ABUW_2817,14,16,44,95,34,104
ABUW_2818,10,32593,3713,39315,18075,103585
ABUWs052,0,3271,41587,42264,43585,10660
ABUW_2819,6962,47,277,340,241,1157
ABUW_2820,43,109,453,333,161,826
ABUW_2821,230,7751,1013,990,823,3037
ABUW_2822,217,426,305,391,187,1230
argG,245,11587,2239,2007,2705,17482
ABUW_2824,157,2121,14697,5245,5500,10670
pyrC,154,329,4252,3117,4105,1235
rnt,462,1172,6638,10882,5183,1423
ABUW_2827,716,2655,11517,21836,6690,2471
ABUW_2828,225,7476,9143,18099,15815,3235
ABUW_2829,359,23366,6997,11886,13947,5518
ABUW_2830,3028,119,31,142,24,241
ABUW_2831,31,248,36,254,66,584
ABUW_2832,52,280,45,236,48,765
ABUW_2833,136,102,16,100,5,226
ABUW_2834,22,10107,5941,11174,7905,19909
ABUW_2835,51,1216,1246,723,1500,1812
ABUW_2836,8039,3,13,34,8,41
ABUW_2837,1047,24,24,20,2,121
ABUW_2838,809,1230,3665,2092,1948,1339
ABUW_2839,243,834,482,283,265,588
ABUW_2840,27,16,48,35,28,63
dnaQ,22,9,42,24,20,37
ABUW_2842,371,6,28,32,16,47
ABUW_2843,1534,15,24,22,59,118
aesT,2255,0,14,16,2,31
ABUW_2845,422,56,999,681,374,751
ABUW_2846,1867,1,7,3,11,45
ABUW_2847,207,1,0,0,1,2
ABUW_2848,2898,7,4,4,7,25
iciA,56,12,18,8,11,44
ABUW_2850,85,5082,340,362,855,7225
ABUW_2851,16,13064,8618,7350,8912,23194
ABUW_2852,27236,45,64,147,23,78
ABUW_2853,615,19,226,422,219,155
ABUW_2854,233,172,160,300,277,164
ubiH,52,117,52,110,139,46
pepP,7,14,11,25,41,22
ABUW_2857,1474,2,4,11,9,28
ABUW_2858,867,7,15,13,11,30
ABUW_2859,2941,18,15,16,18,47
ABUWs053,1410,16,6,8,18,26
ABUW_2860,166,12,7,11,15,58
ABUW_2861,3671,276,262,611,383,1098